capacity_pct,grid,dev_realized,reliability_pct,delivered_ratio_vs_ll,critical_request_served_count,critical_request_count,p95_wait_minutes,squared_load_proxy_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,peak_to_average_ratio,all_pass,driver_pass,fleet_pass,grid_pass,U_D,U_F,U_G
20,NoGrid,0.0,90.19287319761602,1.0,442.8,4937.0,0.0,1.0,1.0,2.9974168111509343,1.0,1.0,1.0,1.0,0.9509643659880801,0.5448450475997569,0.6588385125376359
20,NoGrid,0.0125,90.07361817058347,0.9931445351192894,446.8,4937.0,13.199999999999932,1.0457075023989975,1.035650273224044,2.8807915430481175,0.6,1.0,0.8,0.8,0.8725656137494511,0.4769271705476586,0.5872391288423053
20,NoGrid,0.0248641392971173,89.93366663046474,0.984645986979815,447.4,4937.6,48.0,1.088339065373219,1.0602116767328158,2.7694887815489335,0.0,0.4,0.2,0.6,0.7754160734973321,0.2968582065670247,0.5425372057809232
20,NoGrid,0.0371677252882868,89.72597857576439,0.9802913967733169,450.8,4937.6,60.0,1.1328316707506045,1.0602116767328158,2.6598261523052673,0.0,0.0,0.0,0.2,0.7249575120896199,0.23509070214915678,0.5577186192303261
20,NoGrid,0.0494156503644881,89.51909900911053,0.9735958579753705,450.8,4937.6,60.0,1.1632918925988118,1.035650273224044,2.6167401601374642,0.0,0.0,0.0,0.0,0.6479356337445121,0.23509070214915678,0.6212737705476208
20,NoGrid,0.0737364370599975,89.5241112715669,0.9681987820281014,454.4,4937.6,60.599999999999966,1.2111569281692944,1.035650273224044,2.5489102388763887,0.0,0.0,0.0,0.0,0.5867094327252529,0.23234966166578785,0.625759223579269
20,NoGrid,0.0976171114181145,89.59034593568344,0.9671034930962035,459.0,4937.4,72.0,1.318288513351975,1.1029055699357684,2.3887492286193757,0.0,0.0,0.0,0.0,0.574610202925335,0.17381114661147617,0.47150464195199604
20,NoGrid,0.1439510915079742,89.56832460539465,0.9601074797526424,463.0,4937.4,72.0,1.4739075955576098,1.105312587479628,2.1917160561623503,0.0,0.0,0.0,0.0,0.49510253863932724,0.17421621810659504,0.47458639040534123
20,NoGrid,0.2032127469331808,89.56579732130001,0.9585452106270915,472.2,4937.4,73.19999999999993,1.7244998169832955,1.1054046591889561,1.9578046490578314,0.0,0.0,0.0,0.0,0.47735975408373194,0.16893670242114528,0.4692073637899731
20,NoGrid,0.2800697790508459,89.82142031141052,0.9559431451546597,483.6,4936.4,72.0,2.046267814204441,1.088211676732816,1.7533806901340618,0.0,0.0,0.0,0.0,0.4491071015570526,0.1763122571280601,0.48243415675944
20,NoGrid,0.3736608864604598,90.07394209239015,0.9598596494513073,495.4,4936.4,96.0,2.350196278982734,1.1274669734445404,1.5864760757504937,0.0,0.0,0.0,0.0,0.49481800699147277,0.053283857625518176,0.3515491761395687
20,PeakPenalty,0.0,90.19287319761602,1.0,440.8,4937.0,0.0,0.967528797538159,1.004863157894736,2.668567527146133,1.0,1.0,1.0,1.0,0.9509643659880801,0.5446424954425765,0.7323345238709087
20,PeakPenalty,0.0125,89.96366269693301,0.9947166697769199,444.6,4937.0,0.5999999999999658,1.0053659386115856,1.028,2.637568380741256,0.6,0.8,1.0,0.8,0.8898579481609594,0.5419217544791077,0.6733385206460643
20,PeakPenalty,0.0248641392971173,89.77503871885025,0.988263290926865,446.0,4937.4,25.799999999999898,1.0273634055843104,1.035650273224044,2.5810528184356984,0.0,0.2,0.6,0.8,0.8156756141606287,0.4116250990349491,0.6624744948065169
